Title,Summary,Genre,Feature
"우리, 사랑했을까",나쁜데 끌려. 잘났는데 짠해. 어린데 설레. 무서운데 섹시해. 뭔 소리냐고? 되는 일 하나 없던 14년 차 싱글맘에게 4명의 남자가 나타났단 말씀. 로맨스를 기대해 보자고.,"TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디","가슴 뭉클,로맨스"
동백꽃 필 무렵,"천진하지만 강단 있는 싱글 맘 동백. 씩씩하게 살고 싶지만, 세상의 편견이 여전히 힘들다. 이런 그녀를 찾아온 설렘, 어쩌면 사랑. 이제부터, 조금 더 용감해져도 될까.","TV 드라마·로맨스,한국 드라마,TV 드라마,인기 로맨스","불길한 기운,흥미진진,로맨스"
라이브,공권력의 상징 대한민국 경찰. 하지만 이들도 알고 보면 우리와 닮은 이웃일 뿐. 제복의 무게를 견디며 오늘도 정의를 위해 출동이다! 특별하고도 평범한 삶을 위하여.,"TV 드라마·범죄,한국 드라마,TV 드라마",감동
좋아하면 울리는,"누군가 나를 좋아한다. 그 사람이 나에게 다가오면 알람이 울린다. 마음을 알려주는 앱 ‘좋알람’의 시대, 힘겹게 살아가는 소녀 조조에게도 풋풋한 사랑이 찾아온다.","웹툰 원작 한국 드라마,TV 드라마·로맨스,한국 드라마,TV 프로그램·10대,TV 드라마","감상적,풍부한 감정,로맨스"
응답하라 1994,전국 각지에서 상경한 생면부지의 대학생들. 서울의 어느 하숙집에서 둘도 없는 가족이 되다!,"TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디","가슴 뭉클,로맨스"
힘쎈 여자 도봉순,선천적으로 놀라운 괴력을 타고난 봉순. 불의에 맞서고 정의를 위해 싸우는 이 의리녀에게 얽히고설킨 삼각관계가 벌어진다. 봉순은 정의도 지키고 사랑도 지킬 수 있을까.,"TV 드라마·범죄,TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디","황당한 이야기,엉뚱 기발,푼수 캐릭터,로맨스"
부부의 세계,"일과 가정 모두 놓치지 않는 그녀. 다정한 이웃과 친구까지 있어 더없이 행복하다. 그러나 그녀의 세계를 비로소 완성하는 건, 세월에도 변함없는 남편의 사랑. 그러니 그 사랑이 흔들린다는 건, 완벽한 세계에 균열이 생겼다는 것.","TV 드라마·로맨스,한국 드라마,TV 드라마","다크,긴장감 넘치는,로맨스"
시그널,과거와 현재를 잇는 무전기를 통해 대화를 나누는 1989년의 형사와 2015년의 프로파일러. 그리고 두 사람 모두와 연결되어 있는 또 한 명의 형사. 사건을 해결하고 정의를 실현하기 위한 기묘한 공조 수사가 시작된다.,"TV 드라마·범죄,한국 드라마,TV 프로그램·스릴러,TV 드라마","다크,긴장감 넘치는"
응답하라 1997,남자 아이돌 그룹에 미쳐 청소년기를 보낸 시원. 서른셋이 된 그녀와 친구들은 동창회를 앞두고 고교 시절 추억에 잠긴다.,"TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 프로그램·10대,TV 드라마,TV 프로그램·코미디",로맨스
내 아이디는 강남미인,"새 얼굴이면 새 삶이 펼쳐질 줄 알았건만! 못생겼다는 놀림에서 해방되려 성형 수술을 했지만, 이젠 자연 미인이 아니라 조롱받는다. 난 결코 평범해질 수 없는 운명일까. 스무 살 청춘의 설상가상 외모 트라우마 탈출기, 지금 시작됩니다!","웹툰 원작 한국 드라마,TV 드라마·로맨스,한국 드라마,한국 웹드라마,TV 프로그램·만화 원작,TV 드라마","감상적,기분 좋아지는 시간,감동,로맨스"
보이스,소리에서 단서를 찾는 '보이스 프로파일러'의 세계. 112 신고센터장 권주와 열혈 형사 진혁이 생사의 갈림길에 선 사람들을 구하기 위해 작은 소리 하나도 놓치지 않는다. 골든타임의 경계를 넘나드는 그들의 활약. 오늘도 출동이다.,"TV 드라마·범죄,한국 드라마,TV 프로그램·스릴러,TV 드라마","다크,긴장감 넘치는"
미생,학력은 고졸에다 아는 거라곤 바둑밖에 없는 장그래. 한 회사의 인턴으로 일하게 되면서 냉혹한 현실과 마주한다.,"웹툰 원작 한국 드라마,한국 드라마,TV 드라마","잔잔한 분위기,감동"
기황후,"고려 출신 여성이 사랑과 전쟁, 정치, 충성을 통해 역경을 헤치고 중국 원나라의 막강한 황후가 되기까지의 과정을 그린 드라마.","TV 드라마·로맨스,TV 프로그램·정치,한국 드라마,시대물,TV 드라마","풍부한 감정,로맨스"
더 킹: 영원의 군주,"익숙하고 낯설다. 이곳은 어디고 당신은 누구인가. 평행 세계의 문을 통과한 대한제국 황제. 당황한 그가 강단 있는 형사와 마주친다. 우리, 전에도 만난 적 있지 않나?","TV 드라마·범죄,TV 프로그램·판타지,TV 드라마·로맨스,한국 드라마,TV 드라마","풍부한 감정,로맨스"
괜찮아 사랑이야,인기 추리소설 작가이자 라디오 DJ 재열과 대학병원 정신과 의사 해수. 만나기만 하면 티격태격하던 두 사람이 한집에 살게 되면서 변하기 시작한다.,"TV 드라마·로맨스,한국 드라마,TV 드라마","가슴 뭉클,풍부한 감정,로맨스"
구해줘,"작은 마을 무지군을 장악한 사이비 종교 구선원과 그 손아귀에서 끔찍한 나날을 보내는 상미. 지옥 같은 이곳에서 구해 달라는 상미의 처절한 부탁에 네 청년이 무모하게, 하지만 용감하게 악의 구렁텅이로 뛰어든다.","한국 드라마,사회 문제·TV 드라마,TV 프로그램·스릴러,TV 드라마","불길한 기운,긴장감 넘치는"
오 나의 귀신님,"자신감 제로 주방 보조 나봉선. 뭐가 씌었나, 발칙한 캐릭터로 돌변하더니 자뻑 스타 셰프의 몸과 마음을 온통 흔들어 놓는다. 내 안에 음탕한 처녀 귀신이 산다!","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디",로맨스
SKY 캐슬,"대한민국의 내로라하는 엘리트가 사는 SKY 캐슬. 누구보다 위에 올라 아래를 내려다보고 살아야 한다는 걸 한 번도 의심한 적 없는 삶은 어떨까. 겉으로는 화려하고 우아하지만, 속으로는 욕망과 시기로 가득 찬 이들의 이야기가 펼쳐진다.","한국 드라마,TV 드라마",색다른 이야기
쌍갑포차,"한 많은 중생이여, 술 한잔하시겠는가? 500년간 포차를 운영해 온 이모와 신비한 능력이 있는 청년이 알바생으로 있다네. 이곳에 오면 어떤 고민이든 해결해 주고말고!","웹툰 원작 한국 드라마,TV 프로그램·판타지,한국 드라마,TV 드라마,TV 프로그램·코미디","엉뚱 기발,가슴 뭉클"
더케이투,"사랑하던 모든 것을 잃은 채 신분을 숨기고 도주하며 살아가는 남자 김제하. 대선 후보와 관련된 사건에 우연히 얽혀 거대 재벌 가문의 경호원으로 일하게 된 그의 삶에, 그와 마찬가지로 세상에서 잊힌 채 살아온 한 소녀가 등장한다.","TV 드라마·로맨스,TV 프로그램·정치,한국 드라마,TV 드라마,TV 프로그램·액션 & 어드벤처","아드레날린 폭발,흥미진진,로맨스"
디어 마이 프렌즈,"자식들 뒷바라지하랴, 가족들 건사하랴, 어느새 훅 지나가 버린 세월. 그렇게 노년에 접어들었지만 인생, 아직 저물지 않았다. '시니어벤저스'와 노희경 표 반짝이는 명대사의 만남, 꼰대들의 유쾌한 인생 찬가가 펼쳐진다.","한국 드라마,TV 드라마","감상적,가슴 뭉클,감동,풍부한 감정"
로맨스는 별책부록,책을 만들었는데 로맨스가 따라왔다? 잘나가는 스타 작가이자 출판계 역사를 새로 쓴 최연소 편집장. 그가 경력단절녀가 돼버린 전직 카피라이터의 인생에 깊이 뛰어든다.,"TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디","감상적,가슴 뭉클,로맨스"
청춘시대,"외모부터 성격, 전공, 남자 취향, 연애 스타일까지 모두 다른 5명의 매력적인 여대생이 셰어하우스 '벨 에포크'에 모여 살며 벌어지는 유쾌하고 발랄한 청춘 드라마.","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디","풍부한 감정,로맨스"
명불허전,자타공인 최고의 침술 실력을 자랑하는 참봉의관 허임. 우연히 2017년 이태원 한복판에 떨어지고 말았다! 한의학을 믿지 않는 흉부외과 의사 연경. 쓰러진 사람에게 다짜고짜 침을 놓으려는 이 남자를 만난 후부터 일상이 꼬이기 시작한다.,"TV 드라마·로맨스,한국 드라마,TV 드라마","감동,로맨스"
치즈 인 더 트랩,지갑은 얇지만 누구보다 성실한 여대생 홍설. 그녀의 삶이 꼬이기 시작한다. 모두에게 완벽남이라 추앙받는 선배의 비밀을 알아챘기 때문. 들어 본 얘기라고? 그렇다. 큰 화제를 낳은 동명의 웹툰이 스릴 넘치는 로맨스 드라마로 재탄생했다.,"웹툰 원작 한국 드라마,TV 드라마·로맨스,한국 드라마,TV 드라마","감상적,엉뚱 기발,로맨스"
라이프,"환자를 생각하는 응급의료센터 전문의, 숫자를 먼저 보는 대학병원 신임 사장. 그들의 신념이 부딪친다. 생사가 오가는 병원, 두 남자는 그곳에 어떤 파문을 일으킬까.","한국 드라마,사회 문제·TV 드라마,TV 드라마","감상적,엉뚱 기발,로맨스"
눈이 부시게,"살짝 예스러운 이름에 지극히 평범한 스펙, 그래도 꿈만은 야무진 25세 처자. 그녀에게 특별한 점이 있다면 신비한 시계가 있다는 정도? 비극적인 사건 이후 시간을 되돌린 그녀에게 날벼락 같은 현실이 찾아온다. 내가 70대 할머니라니.","TV 드라마·로맨스,한국 드라마,TV 드라마,인기 로맨스","가슴 뭉클,로맨스"
"하이바이, 마마!",사고로 가족의 곁을 떠나게 된 차유리가 사별의 아픔을 딛고 새 인생을 시작한 남편 조강화와 딸아이 앞에 다시 나타나면서 벌어지는 고스트 엄마의 49일 리얼 환생 스토리,"한국 드라마,TV 드라마,TV 프로그램·코미디","가슴 뭉클,풍부한 감정"
첫사랑은 처음이라서,"스무 살 독립, 문란해질 준비는 끝났다. 화끈한 로맨스를 꿈꾸는 태오. 하지만 친구들이 각자의 사정으로 집에 쳐들어오면서, 기대하지 않았던 좌충우돌 동거가 시작된다.","TV 드라마·로맨스,한국 드라마,TV 드라마","감상적,로맨스"
밥?잘?사주는?예쁜?누나,"일 잘하고 싹싹한 30대 커리어 우먼 진아. 하지만 공허한 마음 달랠 길이 없다. 그래서일까? 그냥 아는 사이였는데, 친구 동생일 뿐인데, 그 녀석이 갑자기 다르게 보인다.","TV 드라마·로맨스,한국 드라마,TV 드라마","잔잔한 분위기,은밀한,로맨스"
하이에나,"머리 쓰는 법정 다툼? 먹고 먹히는 생존 싸움! 처절한 전쟁에서 살아남으려는 두 라이벌 변호사. 상류층 고객의 만족, 불타는 야망의 성취를 위해서라면, 뭔들 못 하겠어?","TV 드라마·로맨스,한국 드라마,TV 드라마","감동,로맨스"
봄밤,"알 수 없는 이끌림과 묘한 떨림. 이게 다 봄바람 때문일까? 정인과 지호가 마주치고, 그들의 평온한 일상이 흔들린다. 진정한 사랑을 깨닫는 시간, 봄밤이 왔다.","TV 드라마·로맨스,한국 드라마,TV 드라마","가슴 뭉클,풍부한 감정,로맨스"
신데렐라와 네 명의 기사,"집에서는 새엄마와 의붓언니한테 시달리고, 밖에선 갖가지 알바를 뛰며 등록금 벌기 바쁜 하원. 씩씩한 성격 덕에 재벌 회장의 눈에 들어 인간 개조 프로젝트를 맡게 된다. 틈만 나면 지지고 볶는 재벌가 손자 셋을 인간으로 만들어라!","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,도서 원작의 TV 프로그램,한국 드라마,TV 드라마,TV 프로그램·코미디","푼수 캐릭터,로맨스"
화유기,"천상천하 유아독존! 세상 혼자 잘난 요괴 손오공과 요괴 중의 요괴 우마왕이 맞붙는다. 여기에 요괴를 보는 여인 삼장까지. 운명을 걸어라, 암흑의 세상에서 빛을 찾아라!","TV 프로그램·판타지,TV 드라마·로맨스,도서 원작의 TV 프로그램,한국 드라마,TV 드라마","등골 서늘,로맨스"
"60일, 지정생존자","갑작스러운 테러로 대참사를 맞은 대한민국. 대통령, 국무총리, 국회의장, 그 모두를 잃었다. 거대한 혼란 속에서 환경부 장관 박무진이 대통령 권한대행으로 지정된다.","TV 프로그램·정치,한국 드라마,TV 드라마","아드레날린 폭발,흥미진진"
열여덟의 순간,외로움에 익숙해져 쉽게 마음을 열지 못하는 아이. 순수하고 따뜻한 마음으로 주변을 보듬는 아이. 완벽해 보이지만 남모를 아픔을 가진 아이. 같은 학교에서 만난 18살 아이들이 악연과 인연으로 얽힌 관계 속에서 한층 성장해가는 이야기.,"TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 프로그램·10대,TV 드라마,TV 프로그램·코미디","가슴 뭉클,로맨스"
어비스,서로 다른 사고로 이른 나이에 죽은 두 남녀. 그런데 두 사람이 완전히 달라진 외모로 살아난다. 그리고 그들 앞에 닥친 새로운 목표. 자신을 죽인 살인마를 찾아야 한다.,"TV 드라마·범죄,TV 프로그램·판타지,한국 드라마,TV 드라마","색다른 이야기,불길한 기운"
시카고 타자기,"일제강점기, 나라를 되찾기 위해 젊음을 불태웠던 세 명의 독립운동가. 그리고 현재, 소설을 통해 서로 얽히게 된 두 작가와 수의사. 시공을 초월한 인연으로 연결된 과거와 현재의 인물들이 만들어가는 미스터리 앤티크 로맨스.","TV 드라마·로맨스,한국 드라마,TV 드라마","가슴 뭉클,로맨스"
성균관 스캔들,조선 시대의 한 소녀 가장은 대리시험 일을 맡았다가 남자만 입학할 수 있는 성균관에 남장을 하고 다니게 된다.,"TV 드라마·로맨스,TV 프로그램·코미디·로맨스,도서 원작의 TV 프로그램,한국 드라마,시대물,TV 드라마,TV 프로그램·코미디","흥미진진,로맨스"
페르소나,"재능과 개성이 넘치는 4명의 감독, 그들이 만든 4편의 작품. 그 속에서 1명의 뮤즈가 4개의 페르소나로 변신한다. 때론 귀엽게 때론 묘하게, 삶과 사랑을 이야기한다.","한국 드라마,TV 드라마","흥미진진,로맨스"
아스달 연대기,"그곳에서 모든 것이 시작됐다. 태고의 땅 아스. 권력을 향한 욕망, 새로운 사회에 대한 열망, 그리고 가슴 뛰는 사랑을 위해 치열하게 살아간 사람들이 있었다.","TV 프로그램·판타지,한국 드라마,시대물,TV 드라마,TV 프로그램·액션 & 어드벤처","풍부한 감정,흥미진진"
그녀는 거짓말을 너무 사랑해,"천상의 목소리로 세상을 노래하는 소녀에게 첫사랑이 찾아온다. 단 한 소절로 그녀의 마음을 빼앗은 그는 작곡가 지망생 강한결. 근데 이 남자, 백수라면서 왜 이렇게 바쁘지? 미스터리로 가득한 그를 향한 순수 소녀의 연가가 시작된다.","TV 드라마·로맨스,한국 드라마,TV 프로그램·만화 원작,TV 드라마","기분 좋아지는 시간,가슴 뭉클,로맨스"
배가본드,"비행기가 추락했고, 그의 하늘도 무너졌다. 하루아침에 사랑하는 조카를 잃은 스턴트맨 차달건. 사고 뒤에 숨은 진실을 쫓던 그는 국정원 블랙 요원 고해리를 만나게 된다.","한국 드라마,TV 프로그램·스릴러,TV 드라마,TV 프로그램·액션 & 어드벤처",흥미진진
나 홀로 그대,"까칠한 천재 발명가 난도. 그가 개발한 인간미 넘치는 홀로그램 인공 지능 ‘홀로’. 같은 얼굴, 다른 성격인 이 둘이 소연의 인생에 들어온다. 늘 혼자인 그녀의 곁으로.","TV 프로그램·SF,TV 드라마·로맨스,한국 드라마,TV 드라마","가슴 뭉클,로맨스"
미스 함무라비,"모여도 이렇게 모일 수가! 막말 재판장, 원조 싸가지, 신입 또라이가 모인 환장적인(?) 조합의 재판부. 생판 다른 스타일 세 명이 현실의 눈으로, 원칙의 눈으로, 마음의 눈으로 진실과 정의를 향해 달려가는 이야기, 지금 시작합니다!","도서 원작의 TV 프로그램,한국 드라마,사회 문제·TV 드라마,TV 드라마",감동
보좌관,"권력의 그늘에서 권력의 정점을 꿈꾼다. 위험한 야심을 품은 국회의원 보좌관 장태준. 이 음모와 탐욕의 세상에서, 그는 살아남을 수 있을까. 위태로운 도박이 시작된다.","TV 프로그램·정치,한국 드라마,사회 문제·TV 드라마,TV 드라마",감동
나의 나라,"고려 말, 거대한 변화의 바람이 분다. 새로운 시대의 도래를 주도하는 이들, 혼란에 휩싸여 희생되는 이들. 그들 모두가 바라는 것은 힘! 그들의 목숨 건 싸움이 시작된다.","TV 프로그램·정치,한국 드라마,시대물,TV 드라마,TV 프로그램·액션 & 어드벤처","가슴 뭉클,감동,흥미진진"
내일 그대와,"시간 여행이라는 엄청난 능력을 갖고 있지만, 돈 버는 일 외엔 관심 없다는 남자. 눈 씻고 찾아도 단점이 없다는 완벽남인 그가 갑자기 품절남이 돼 버렸다. 하지만 누가 상상이나 했을까. 이 모든 게 미래를 바꾸기 위한 계획일 줄.","TV 드라마·로맨스,한국 드라마,TV 드라마","불길한 기운,풍부한 감정,로맨스"
나쁜녀석들: 악의 도시,"타협은 없다. 용서도 없다. 썩은 놈들이 판치는 대한민국, 그놈들 잡으러 나선 나쁜 녀석들의 통쾌한 한 방! 검사는 판을 짜고 조폭과 형사는 발로 뛰니, 전쟁은 시작됐다.","TV 드라마·범죄,한국 드라마,TV 프로그램·스릴러,TV 드라마,TV 프로그램·액션 & 어드벤처",폭력
"그 겨울, 바람이 분다","여자, 술, 포커가 인생의 전부인 사기꾼. 시각장애를 가진 재벌가 상속녀에게 접근해 한몫 챙길 심산이다. 하지만 자기를 닮은 그녀의 모습에 미묘한 감정을 느끼고, 계획에서 멀어지기 시작한다. 자신의 목숨이 걸린 일이란 것도 잊은 채.","TV 드라마·로맨스,한국 드라마,TV 드라마","풍부한 감정,로맨스"
개인의 취향,엉뚱녀 개인의 우아한 집에 머물기 위해 게이 행세를 하는 남자. 개인은 이 새로운 룸메이트를 만나면서 사랑에 대한 관점을 완전히 바꾸게 된다.,"TV 드라마·로맨스,TV 프로그램·코미디·로맨스,도서 원작의 TV 프로그램,한국 드라마,TV 드라마,TV 프로그램·코미디","풍부한 감정,로맨스"
신입사관 구해령,"신부 수업도 싫다, 혼인도 싫다. 뼛속까지 자유로운 조선 여인 구해령. 그녀가 자신의 운명을 스스로 개척하기 위해 궁으로 들어간다. 조선 최초의 여사관이 된다.","TV 드라마·로맨스,한국 드라마,시대물,TV 드라마","가슴 뭉클,감동,로맨스"
품위있는 그녀,"욕망의 끝은 어디일까. 이미 상류 사회에 속한 사람, 그곳에 입성하기 위해 발버둥 치는 사람. 그 가운데 두 여인의 삶이 있다. 욕망이란 독배를 마신 군상들의 이야기.","한국 드라마,TV 드라마",다크
통 메모리즈,한 성격 하는 거친 상남자 고등학생. 일진에게 가차 없는 그가 부산 주먹의 전설이 되는 이야기.,"한국 드라마,한국 웹드라마,TV 드라마,TV 프로그램·액션 & 어드벤처",다크
사의 찬미,"그는 그녀의 노래였고, 그녀는 그의 시였다. 일제강점기의 어두운 조국, 서로의 심연을 알아본 두 사람. 극작가 김우진과 성악가 윤심덕은 운명적인 사랑에 빠져든다.","TV 드라마·로맨스,한국 드라마,TV 드라마","감상적,로맨스"
모두의 거짓말,"아버지가 죽던 날, 사라진 남편. 그를 구하려면 국회의원이 되어야 한다. 이제 그녀가 믿을 사람은 조태식 형사뿐이다. 거짓말 속에 숨은 진실을 파헤치는 시크릿 스릴러.","TV 드라마·범죄,TV 프로그램·정치,한국 드라마,TV 프로그램·스릴러,TV 드라마",긴장감 넘치는
블랙,"죽음을 예견하는 여자, 인간의 몸에 빙의한 저승사자. 한 명은 죽음을 막고 다른 한 명은 죽음을 지킨다. 두 사람의 아이러니한 동행에서 이어지는 예측 불가 미스터리.","TV 드라마·범죄,TV 프로그램·판타지,한국 드라마,TV 프로그램·미스터리,TV 드라마",등골 서늘
미스티,야심 하나로 최고의 앵커 자리에 올랐다. 무엇도 자신을 멈출 수 없으리라 믿었다. 하지만 과거의 인연과 현재의 위기가 얽힌 엄청난 사건이 그녀의 삶을 헤집기 시작한다. 진실이라 믿은 사실에 생긴 거대한 균열. 판도라의 상자는 열렸다!,"TV 드라마·범죄,TV 드라마·로맨스,한국 드라마,TV 프로그램·미스터리,TV 드라마","다크,긴장감 넘치는,로맨스"
보고싶다,"중학생 시절, 비극적인 이별을 한 후 생사조차 모른 채 어른으로 성장한 두 남녀. 지난 십여 년간의 응어리를 고스란히 간직한 채 다시 만난다.","TV 드라마·범죄,TV 드라마·로맨스,한국 드라마,TV 드라마","긴장감 넘치는,풍부한 감정,로맨스"
제3의 매력,"스물의 봄, 스물일곱의 여름, 그리고 서른둘의 가을과 겨울. 그렇게 두 남녀는 세 번째 만났다. 남들 눈엔 안 보이는, 서로가 가진 제3의 매력에 빠진 둘. 12년이란 긴 시간을 통과하며 그리는 두 사람의 연애 이야기.","TV 드라마·로맨스,한국 드라마,TV 드라마","풍부한 감정,로맨스"
야경꾼일지,"귀신을 볼 수 있는 한 남자는 밤에는 야경꾼, 낮에는 태자로 살아가다 왕위를 건 권력투쟁에 휘말린다.","TV 프로그램·판타지,한국 드라마,시대물,TV 드라마,TV 프로그램·액션 & 어드벤처",흥미진진
루시퍼,지긋지긋한 지옥 생활을 청산하고 은퇴를 선언한 악마. LA로 와 나이트클럽을 열고 인생을 즐기던 어느 날 강력계 형사를 만나면서 새로운 삶을 살기 시작한다.,"TV 드라마·범죄,TV 프로그램·판타지,TV 프로그램·만화 원작,TV 드라마,미국 TV 프로그램",흥미진진
워킹데드,"눈을 떠보니 세상은 좀비가 점령한 전쟁터. 어디로 갈 것인가, 어떻게 생존할 것인가. 현실이 지옥일 때 희망은 의미가 있는가. 살아남은 자들의 사투가 펼쳐진다.","TV 프로그램·만화 원작,TV 드라마,TV 프로그램·호러,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","불길한 기운,무서운 이야기,다크,긴장감 넘치는"
프리즌 브레이크,형이 억울하게 살인 누명을 쓰고 수감되자 구조 공학자인 주인공은 악명 높은 폭스 리버 주립 교도소에서 형을 탈옥시키기로 결심한다.,"TV 드라마·범죄,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","다크,긴장감 넘치는"
위쳐,"세계적인 판타지 대작이 넷플릭스 시리즈로 다시 태어난다. 어둠과 위험의 세계, 진실은 어디에 있을까. 운명으로 묶인 그들. 위쳐와 마법사, 홀로 남은 공주의 싸움이 시작된다.","TV 프로그램·판타지,도서 원작의 TV 프로그램,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처",흥미진진
원헌드레드,"지구가 핵전쟁으로 황폐해지고 한 세기의 시간이 흐른 뒤, 우주 정거장에 살던 사람들 100명이 인류의 생존 가능성을 알아내기 위해 지구로 보내진다.","TV 프로그램·SF,TV 프로그램·정치,도서 원작의 TV 프로그램,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처",폭력
